Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Reason evaluated in the NCD clinic,Coded,N/A,radio,No,no,CIEL:164359,,,
Reason evaluated in the NCD clinic,Text,N/A,textarea,No,no,CIEL:161011,,,
