Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Urogenital exam title,Coded,Other,checkbox,No,no,PIH:UROGENITAL EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,CIEL:163047,,,
Neuro exam title,Coded,Normal,checkbox,No,no,PIH:NEUROLOGIC EXAM FINDINGS,PIH:NORMAL,,
Neuro exam title,Coded,Seizure,checkbox,No,no,PIH:NEUROLOGIC EXAM FINDINGS,PIH:SEIZURE,,
Neuro exam title,Coded,Hemiplegia,checkbox,No,no,PIH:NEUROLOGIC EXAM FINDINGS,CIEL:117655,,
Neuro exam title,Coded,Other,checkbox,No,no,PIH:NEUROLOGIC EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,PIH:11570,,,
Musculoskeletal exam title,Coded,Normal,checkbox,No,no,PIH:MUSCULOSKELETAL EXAM FINDINGS,PIH:NORMAL,,
Musculoskeletal exam title,Coded,Muscle tenderness,checkbox,No,no,PIH:MUSCULOSKELETAL EXAM FINDINGS,PIH:MUSCLE TENDERNESS,,
Musculoskeletal exam title,Coded,Effusion of joint,checkbox,No,no,PIH:MUSCULOSKELETAL EXAM FINDINGS,CIEL:118697,,
Musculoskeletal exam title,Coded,Oedema,checkbox,No,no,PIH:MUSCULOSKELETAL EXAM FINDINGS,CIEL:460,,
Musculoskeletal exam title,Coded,Muscle pain,checkbox,No,no,PIH:MUSCULOSKELETAL EXAM FINDINGS,PIH:MUSCLE PAIN,,
Musculoskeletal exam title,Coded,Other,checkbox,No,no,PIH:MUSCULOSKELETAL EXAM FINDINGS,PIH:OTHER NON-CODED,,
Comment,Coded,N/A,radio,No,no,CIEL:163048,,,
Gross motor skills exam title,Coded,Normal,checkbox,No,no,PIH:GROSS MOTOR SKILLS EVALUATION,PIH:NORMAL,,
Gross motor skills exam title,Coded,Abnormal,checkbox,No,no,PIH:GROSS MOTOR SKILLS EVALUATION,PIH:ABNORMAL,,
Comment,Coded,N/A,radio,No,no,PIH:Gross Motor Skills Evaluation (text),,,
Fine motor skills exam title,Coded,Normal,checkbox,No,no,PIH:FINE MOTOR SKILLS EVALUATION,PIH:NORMAL,,
Fine motor skills exam title,Coded,Abnormal,checkbox,No,no,PIH:FINE MOTOR SKILLS EVALUATION,PIH:ABNORMAL,,
Comment,Coded,N/A,radio,No,no,PIH:Fine Motor Skills Evaluation (text),,,
Language development evaluation title,Coded,Normal,checkbox,No,no,PIH:LANGUAGE DEVELOPMENT EVALUATION,PIH:NORMAL,,
Language development evaluation title,Coded,Abnormal,checkbox,No,no,PIH:LANGUAGE DEVELOPMENT EVALUATION,PIH:ABNORMAL,,
Comment,Coded,N/A,radio,No,no,PIH:Language Development Evaluation (text),,,
Social skills evaluation title,Coded,Normal,checkbox,No,no,PIH:SOCIAL SKILLS EVALUATION,PIH:NORMAL,,
Social skills evaluation title,Coded,Abnormal,checkbox,No,no,PIH:SOCIAL SKILLS EVALUATION,PIH:ABNORMAL,,
Comment,Coded,N/A,radio,No,no,PIH:Social Skills Evaluation (text),,,
